,Project Name,sha,Test Name,Type,Cause,File,Line,Label
0,tyrus,d86e0c,testOnCloseClientInitiated,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
1,tyrus,d86e0c,testOnCloseClientInitiated,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
2,tyrus,d86e0c,testDoubleClose,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
3,tyrus,d86e0c,testDoubleClose,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
4,tyrus,d86e0c,testSessionAllMethodsAfterClose,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
5,tyrus,d86e0c,testSessionAllMethodsAfterClose,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
6,tyrus,d86e0c,testOnCloseServerInitiated,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
7,tyrus,d86e0c,testOnCloseServerInitiated,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
8,tyrus,d86e0c,testOnClose,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
9,tyrus,d86e0c,testOnClose,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
10,tyrus,d86e0c,testOnCloseWithoutCloseReason,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
11,tyrus,d86e0c,testOnCloseWithoutCloseReason,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
12,tyrus,d86e0c,testOnCloseWithCloseReasonWithoutReasonPhrase,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
13,tyrus,d86e0c,testOnCloseWithCloseReasonWithoutReasonPhrase,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
14,tyrus,d86e0c,testOnCloseCustomCloseReasonServerInitiated,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,4
15,tyrus,d86e0c,testOnCloseCustomCloseReasonServerInitiated,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,10
16,tyrus,d86e0c,onClose,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,12
17,tyrus,d86e0c,onClose,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,6
18,tyrus,d86e0c,testSessionTimeout,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,12
19,tyrus,d86e0c,testSessionTimeout,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,6
20,tyrus,d86e0c,testSessionClientTimeoutSession,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,6
21,tyrus,d86e0c,testSessionClientTimeoutSession,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,12
22,tyrus,d86e0c,testSessionClientTimeoutSessionOnOpen,RESOURCE,'java/lang/Runtime.availableProcessors','org/glassfish/grizzly/nio/transport/TCPNIOTransport',197,6
23,tyrus,d86e0c,testSessionClientTimeoutSessionOnOpen,NETWORK,'java/nio/channels/SocketChannel.connect','org/glassfish/grizzly/nio/transport/TCPNIOConnectorHandler',137,12
